ADDRESS,INC1,INC2,INC3,INC4,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,ObjectId
3700 BLOCK HOHENSEE DR,9600,0,0,0,84,C3-040732,1253,5/14/2023,SUN,5/14/2023,1245,SUN,5/14/2023,1253,0,0,11199
100 BLOCK SW 48TH ST,23300,0,0,0,25,C3-040739,1336,5/14/2023,SUN,5/14/2023,1315,SUN,5/14/2023,1336,0,0,11200
1400 BLOCK HILLTOP RD,13000,0,0,0,84,C3-043095,1212,5/21/2023,SUN,5/21/2023,1130,SUN,5/21/2023,1212,0,0,11201
1400 BLOCK N 15 ST,23900,0,0,0,80,C3-043098,1223,5/21/2023,SUN,5/21/2023,230,SUN,5/21/2023,1223,0,0,11202
8700 BLOCK ANDERMATT DR,29300,0,0,0,17,C3-043101,1239,5/21/2023,WED,5/10/2023,1125,WED,5/10/2023,1239,0,0,11203
8700 BLOCK ANDERMATT DR,29300,0,0,0,17,C3-043102,1224,5/21/2023,WED,5/10/2023,1125,WED,5/10/2023,1224,0,0,11204
CITY OF LINCOLN,29510,0,0,0,69,C3-043104,1244,5/21/2023,SAT,5/20/2023,800,SUN,5/21/2023,1244,0,0,11205
1300 BLOCK SOUTH ST,27111,26111,0,0,36,C3-043107,1249,5/21/2023,SUN,5/21/2023,1247,,,1249,0,0,11206
1800 BLOCK S 11TH ST,9300,0,0,0,80,C3-043108,1250,5/21/2023,SUN,5/21/2023,1240,SUN,5/21/2023,1250,0,0,11207
800 BLOCK N 27TH ST,29300,0,0,0,24,C3-043109,1306,5/21/2023,SUN,5/21/2023,230,SUN,5/21/2023,1306,0,0,11208
CITY OF LINCOLN,29300,0,0,0,69,C3-043110,1306,5/21/2023,SUN,5/21/2023,230,SUN,5/21/2023,1306,0,0,11209
CITY OF LINCOLN,29300,0,0,0,69,C3-043111,1306,5/21/2023,SUN,5/21/2023,230,SUN,5/21/2023,1306,0,0,11210
3900 BLOCK S 53RD ST,12000,0,0,0,80,C3-043112,1306,5/21/2023,SUN,5/21/2023,1306,,,1306,0,0,11211
1300 BLOCK N 22ND ST,12000,0,0,0,80,C3-043115,1318,5/21/2023,SUN,5/21/2023,1300,SUN,5/21/2023,1318,0,0,11212
1700 BLOCK W PEACH ST,42100,0,0,0,80,C3-043120,1334,5/21/2023,SAT,5/20/2023,2100,SUN,5/21/2023,1334,0,75,11213
6400 BLOCK BALLARD AVE,56000,0,0,0,80,C3-043124,1356,5/21/2023,SAT,5/20/2023,2000,SUN,5/21/2023,1356,0,0,11214
3400 BLOCK VINE ST,24000,0,0,0,2,C3-043127,1438,5/21/2023,MON,5/15/2023,1438,SUN,5/21/2023,1438,0,0,11215
5600 BLOCK ABBEY CT,5222,0,0,0,84,C3-043129,1415,5/21/2023,SUN,5/21/2023,1345,SUN,5/21/2023,1415,0,0,11216
8700 BLOCK S 28TH ST,23400,0,0,0,21,C3-043142,1520,5/21/2023,SUN,5/21/2023,1445,SUN,5/21/2023,1520,0,0,11217
900 BLOCK M ST,23500,0,0,0,84,C3-043143,1453,5/21/2023,SAT,5/20/2023,2300,SUN,5/21/2023,1453,0,0,11218
