ADDRESS,RD,INC_,TYPE_CODE,CALL_TYPE,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,FID
6200 BLOCK OF GLENDALE RD,40,29300,9100,FRAUD,69,B6-024649,1857,2016/03/23 00:00:00+00,SAT,2016/03/12 00:00:00+00,1200,SAT,2016/03/12 00:00:00+00,2359,0,0,6762
2400 BLOCK OF GRAINGER PKY,174,42000,9443,VAND/VEH,1,B6-025593,1113,2016/03/27 00:00:00+00,SAT,2016/03/26 00:00:00+00,1900,SUN,2016/03/27 00:00:00+00,900,0,10,6763
2400 BLOCK OF NICK RD,174,42000,9443,VAND/VEH,1,B6-025584,1030,2016/03/27 00:00:00+00,SAT,2016/03/26 00:00:00+00,1900,SUN,2016/03/27 00:00:00+00,900,0,200,6764
2400 J ST,70,27111,8600,NARCOTICS,10,B6-025739,2303,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,2303,SUN,2016/03/27 00:00:00+00,2303,0,0,6765
2500 BLOCK OF TERESA AVE,9,5100,4122,ASLT KNIFE,81,B6-025688,1932,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,1800,SUN,2016/03/27 00:00:00+00,1900,0,0,6766
300 BLOCK OF B ST,91,25211,9510,MS PERS JUV,80,B6-025638,1537,2016/03/27 00:00:00+00,,2016/03/27 00:00:00+00,1534,,,,0,0,6767
300 BLOCK OF CANOPY ST,21,5000,4111,ASLT GUN,12,B6-025527,200,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,130,SUN,2016/03/27 00:00:00+00,200,0,0,6768
300 BLOCK OF N 33RD ST,31,23400,6602,LFB $50-199,83,B6-025606,1232,2016/03/27 00:00:00+00,SAT,2016/03/26 00:00:00+00,1800,SUN,2016/03/27 00:00:00+00,600,100,0,6769
3200 BLOCK OF SHERIDAN BLVD,500,24000,0,MISC OTHER,96,B6-025652,1647,2016/03/27 00:00:00+00,SAT,2016/03/26 00:00:00+00,1000,,,,0,0,6770
3200 BLOCK OF Y ST,15,13000,0,DISTURBNCE,82,B6-025622,1344,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,1340,,,,0,0,6771
3700 BLOCK OF NW 50TH ST,145,5100,4152,ASLT NO WEAP,80,B6-025736,2315,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,2200,SUN,2016/03/27 00:00:00+00,2314,0,0,6772
400 BLOCK OF W SAUNDERS AVE,136,61000,8200,PHONE/COMP,84,B6-025701,1944,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,1200,SUN,2016/03/27 00:00:00+00,1930,0,0,6773
4000 BLOCK OF S 40TH ST,61,25211,9510,MS PERS JUV,80,B6-025600,1208,2016/03/27 00:00:00+00,,2016/03/25 00:00:00+00,2100,,,,0,0,6774
4100 BLOCK OF CLIFFORD DR,106,61000,8200,PHONE/COMP,80,B6-025580,940,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,19,SUN,2016/03/27 00:00:00+00,936,0,0,6775
6300 BLOCK OF APPLES WAY,184,24255,0,PROT.ORDER,24,B6-024628,1822,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1720,WED,2016/03/23 00:00:00+00,1822,0,0,6776
6900 BLOCK OF O ST,48,23300,6202,LSL $50-199,17,B6-024528,1321,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1300,WED,2016/03/23 00:00:00+00,1321,50,0,6777
7200 BLOCK OF ADAMS ST,41,24000,0,MISC OTHER,80,B6-024518,1258,2016/03/23 00:00:00+00,THU,2011/06/09 00:00:00+00,1,,,,0,0,6778
7900 BLOCK OF COOPER AVE,182,42000,9400,VANDALISM,80,B6-024457,814,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,2200,TUE,2016/03/22 00:00:00+00,2300,0,20,6779
800 BLOCK OF H ST,88,23400,6603,LFB $1-49,84,B6-024432,657,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,100,WED,2016/03/23 00:00:00+00,630,35,0,6780
800 BLOCK OF S 8TH ST,87,23800,6502,LSB $50-199,89,B6-024458,838,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,1600,TUE,2016/03/22 00:00:00+00,1615,105,0,6781
8900 BLOCK OF ANDERMATT DR,200,23300,6202,LSL $50-199,22,B6-024627,1818,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1807,WED,2016/03/23 00:00:00+00,1816,160,0,6782
900 BLOCK OF W UPLAND AVE,139,41000,7200,AT TRK/BUS,34,B6-024604,1624,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,430,WED,2016/03/23 00:00:00+00,1600,1500,0,6783
BRIDGER & LARAMIE TRL,137,27111,8600,NARCOTICS,1,B6-024386,37,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,35,WED,2016/03/23 00:00:00+00,36,0,0,6784
100 BLOCK OF S 46TH ST,56,13000,0,DISTURBNCE,96,B6-024931,2114,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,2100,THU,2016/03/24 00:00:00+00,2110,0,0,6785
1100 BLOCK OF B ST,86,23500,6303,LFA $1-49,84,B6-024820,1417,2016/03/24 00:00:00+00,MON,2016/03/21 00:00:00+00,1900,THU,2016/03/24 00:00:00+00,1417,46,0,6786
12TH & F,86,27111,8600,NARCOTICS,1,B6-024828,1516,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,1516,THU,2016/03/24 00:00:00+00,1516,0,0,6787
1300 BLOCK OF N 21ST ST,17,41000,7300,AT MC,82,B6-024796,1344,2016/03/24 00:00:00+00,WED,2016/03/23 00:00:00+00,1800,THU,2016/03/24 00:00:00+00,800,1574,0,6788
1400 BLOCK OF N 59TH ST,37,5000,4152,ASLT NO WEAP,80,B6-024900,1846,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,1830,THU,2016/03/24 00:00:00+00,1840,0,0,6789
1500 BLOCK OF W MANOR DR,49,9500,7500,CHILD A/N,80,B6-024804,1414,2016/03/24 00:00:00+00,TUE,2016/03/22 00:00:00+00,1700,WED,2016/03/23 00:00:00+00,1900,0,0,6790
1900 BLOCK OF CONNOR ST,43,29500,9100,FRAUD,80,B6-024856,1509,2016/03/24 00:00:00+00,WED,2016/03/16 00:00:00+00,0,SUN,2016/03/20 00:00:00+00,2359,0,0,6791
1900 BLOCK OF O ST,72,24000,0,MISC OTHER,39,B6-024760,1059,2016/03/24 00:00:00+00,WED,2016/03/23 00:00:00+00,1900,,,,0,0,6792
200 BLOCK OF BELMONT ST,134,29500,9100,FRAUD,81,B6-024803,1411,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,1300,THU,2016/03/24 00:00:00+00,1330,0,0,6793
200 BLOCK OF S 21ST ST,69,27111,8600,NARCOTICS,1,B6-024713,354,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,354,,,,0,0,6794
2200 BLOCK OF PINE LAKE RD,164,23400,6601,LFB $200 +,89,B6-024919,2005,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,800,THU,2016/03/24 00:00:00+00,1200,400,0,6795
2200 BLOCK OF S 7TH ST,95,23900,6901,LAR $200 +,35,B6-024725,722,2016/03/24 00:00:00+00,WED,2016/03/23 00:00:00+00,1700,THU,2016/03/24 00:00:00+00,720,608,0,6796
2400 BLOCK OF W SOUTH ST,159,6000,5121,BURG RD NFE,80,B6-024854,1611,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,1000,THU,2016/03/24 00:00:00+00,1100,0,150,6797
2500 BLOCK OF C ST,466,23800,6501,LSB $200 +,0,B6-E00099,928,2016/03/24 00:00:00+00,,2016/03/14 00:00:00+00,100,,2016/03/24 00:00:00+00,300,400,0,6798
2500 BLOCK OF U ST,28,5100,4152,ASLT NO WEAP,84,B6-024742,910,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,900,THU,2016/03/24 00:00:00+00,910,0,0,6799
2600 BLOCK OF CORNHUSKER HWY,123,23300,6203,LSL $1-49,21,B6-024822,1501,2016/03/24 00:00:00+00,THU,2016/03/24 00:00:00+00,1147,,,,7,0,6800
1300 BLOCK OF N 56TH ST,38,24000,0,MISC OTHER,80,B6-025980,1751,2016/03/28 00:00:00+00,SAT,2016/03/26 00:00:00+00,0,MON,2016/03/28 00:00:00+00,1751,0,0,6801
13TH & Q,78,5000,4131,ASLT ODW,3,B6-025910,1400,2016/03/28 00:00:00+00,MON,2016/03/28 00:00:00+00,900,MON,2016/03/28 00:00:00+00,910,0,0,6802
1400 BLOCK OF N 48TH ST,38,13000,0,DISTURBNCE,24,B6-025842,1047,2016/03/28 00:00:00+00,MON,2016/03/28 00:00:00+00,1030,MON,2016/03/28 00:00:00+00,1045,0,0,6803
14TH & FLETCHER,131,9300,7500,CHILD A/N,3,B6-025959,1632,2016/03/28 00:00:00+00,MON,2016/03/28 00:00:00+00,1615,,,,0,0,6804
