VDAT,AGE,RACE,SEX,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
2019/01/02 00:00:00+00,62,W,F,1402,LB618387,1,,S 17,VAN DORN,-,2167,IMPROPER REGISTRATION,C,96
2019/01/03 00:00:00+00,25,B,M,512,LB610517,1,B9-000533,1311 SW 10,-,-,11092,MANU/DELV/POSS CONTR SUBST W/INTENT TO DELVR,B,97
2019/01/03 00:00:00+00,25,B,M,512,LB610517,2,B9-000533,1311 SW 10,-,-,11555,POSS MONEY WHILE VIOLATING 28-416(1),B,98
2019/01/02 00:00:00+00,27,W,M,900,LB618386,1,,N 56,LEIGHTON,-,2167,IMPROPER REGISTRATION,C,99
2019/01/02 00:00:00+00,27,W,M,900,LB618386,2,,N 56,LEIGHTON,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,100
2019/01/01 00:00:00+00,31,B,M,2043,LB614506,1,B9-000206,S 27,CAPITOL PKWY,-,2112,NEGLIGENT DRIVING,C,101
2019/01/01 00:00:00+00,31,B,M,2043,LB614506,2,B9-000206,S 27,CAPITOL PKWY,-,1556,OCCUPANT PROTECTION SYSTEM,C,102
2018/12/31 00:00:00+00,30,H,M,1844,LB613665,1,B8-120516,509 S 25 #2,-,-,12351,CRIMINAL MISCHIEF $0-500,C,103
2019/01/01 00:00:00+00,22,W,F,1257,LB619329,1,B9-000125,O,56,COTNER,2112,NEGLIGENT DRIVING,C,104
2018/12/31 00:00:00+00,24,B,M,1514,LB616173,1,B8-120459,Q,N 14,N 13,2112,NEGLIGENT DRIVING,C,105
2018/12/31 00:00:00+00,24,B,M,1514,LB616173,2,B8-120459,Q,N 14,N 13,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,106
2018/12/31 00:00:00+00,37,W,M,1737,LB614900,1,B8-120500,N 27,TICONDEROGA,-,1344,CHANGE COURSE OF MOTOR VEHICLE W/O SAFETY,C,107
2019/01/01 00:00:00+00,50,W,F,1436,LB619505,1,B9-000148,O,50,48,2112,NEGLIGENT DRIVING,C,108
2018/12/31 00:00:00+00,80,W,M,1727,LB619504,1,B8-120497,R,N 56,N 52,1333,FAIL TO YIELD TO VEHICLE,C,109
2018/12/31 00:00:00+00,25,W,F,128,LB612850,1,B8-120329,O,84,SKYWAY,2111,RECKLESS DRIVING,C,110
2018/10/17 00:00:00+00,24,W,M,1200,XX2190001,1,B8-099444,,,,12075,VIOLATE PROTECTION ORDER,C,111
2018/08/08 00:00:00+00,20,W,F,635,XX2190004,1,B8-072611,,,,9673,FALSE REPORTING - FALSE INFORMATION,C,112
2018/08/08 00:00:00+00,20,W,F,635,XX2190004,2,B8-072611,,,,10147,OBSTRUCT GOVERNMENT OPERATIONS,C,113
2018/08/08 00:00:00+00,18,W,F,635,XX2190006,1,B8-072611,,,,9673,FALSE REPORTING - FALSE INFORMATION,C,114
2018/08/08 00:00:00+00,18,W,F,635,XX2190006,2,B8-072611,,,,10147,OBSTRUCT GOVERNMENT OPERATIONS,C,115
2018/10/19 00:00:00+00,20,W,M,1426,LB608297,1,B8-098000,S 48,MEREDETH,-,11088,POSS CONTROLLED SUBSTANCE,B,116
