AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
0,,,2020/12/31 00:00:00+00,107,XX2210013,1,C0-119437,1035 M,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,88
42,W,F,2021/01/03 00:00:00+00,1800,LB677123,1,C1-000742,3801 W O,-,-,11088,POSS CONTROLLED SUBSTANCE,B,89
30,H,M,2021/01/01 00:00:00+00,830,LO5200038,1,C1-000156,3500 N 27TH ST/,MENARDS,,12309,THEFT BY SHOPLIFTING $0-$500,C,90
0,,,2021/01/01 00:00:00+00,10,XX2210014,1,C0-119740,1035 M,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,91
41,W,F,2020/12/30 00:00:00+00,2019,LB677124,1,C0-119379,PORTIA,ADAMS,-,12347,THEFT BY RECEIVING $0-500 3RD/SUBSQ OFF,B,92
23,B,F,2021/01/01 00:00:00+00,2358,2021000015,1,,27 SALTILLO,,,677,ARRESTED ON COUNTY BENCH WARRANT,C,93
0,,,2021/01/02 00:00:00+00,44,XX2210015,1,C1-000332,1035 M,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,94
39,W,M,2020/12/31 00:00:00+00,1515,2020007009,1,,2019 GARFIELD,-,-,676,ARRESTED ON COUNTY WARRANT-MSD,B,95
40,H,F,2021/01/02 00:00:00+00,1253,LN2800023,1,C1-000417,BALDWIN/43-44,,,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,96
0,,,2021/01/03 00:00:00+00,2,XX2210016,1,C1-000565,1035 M,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,97
24,H,F,2021/01/04 00:00:00+00,103,2021000045,1,,227 BELMONT,-,-,674,ARRESTED ON OUTSIDE AGENCY WARRANT-MSD,B,98
40,H,F,2021/01/02 00:00:00+00,1253,LN2800023,2,C1-000417,BALDWIN/43-44,,,2112,NEGLIGENT DRIVING,C,99
25,W,F,2021/01/05 00:00:00+00,859,LN3800143,1,,48 / VINE - ORCH,ARD,,2167,IMPROPER REGISTRATION,C,100
27,B,M,2021/01/04 00:00:00+00,707,2021000047,1,,531 W BELMONT,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,101
40,H,F,2021/01/02 00:00:00+00,1253,LN2800023,3,C1-000417,BALDWIN/43-44,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,102
58,H,M,2021/01/05 00:00:00+00,911,LN3800144,1,,,,,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,103
41,W,F,2021/01/04 00:00:00+00,807,LN3700188,1,,D/ 18-17,,,2167,IMPROPER REGISTRATION,C,104
29,B,M,2021/01/02 00:00:00+00,1350,2021000026,1,,721 BARROW,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,105
58,H,M,2021/01/05 00:00:00+00,911,LN3800144,2,,,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,106
30,W,M,2021/01/04 00:00:00+00,827,LN3700189,1,,S 13/B-F,,,2167,IMPROPER REGISTRATION,C,107
21,W,F,2021/01/04 00:00:00+00,712,LP8000028,1,C1-000847,NELSON/ 13 TO 14,TH,,2112,NEGLIGENT DRIVING,C,108
44,B,M,2021/01/04 00:00:00+00,914,LP6900191,1,,27TH O ST,,,2167,IMPROPER REGISTRATION,C,109
44,B,M,2021/01/04 00:00:00+00,914,LP6900191,2,,27TH O ST,,,1556,OCCUPANT PROTECTION SYSTEM,C,110
82,W,F,2021/01/04 00:00:00+00,855,LP3800024,1,C1-000877,S 48TH ST/NORMAL,BLVD-ANTELOPE C,REEK RD,1344,CHANGE COURSE OF MOTOR VEHICLE W/O SAFETY,C,111
21,H,F,2021/01/04 00:00:00+00,1010,LP6900192,1,,27TH T ST,,,2167,IMPROPER REGISTRATION,C,112
21,H,F,2021/01/04 00:00:00+00,1010,LP6900192,2,,27TH T ST,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,113
30,W,M,2021/01/04 00:00:00+00,953,LQ3200051,1,C1-000891,O ST 33RD ST TO,44TH ST,,2167,IMPROPER REGISTRATION,C,114
30,W,M,2021/01/04 00:00:00+00,953,LQ3200051,2,C1-000891,O ST 33RD ST TO,44TH ST,,1898,"SUSPENDED LICENSE, ELIGIBLE",C,115
56,W,F,2021/01/04 00:00:00+00,1102,LN3400169,1,,W. 'O' / NW 20 -,HWY 77,,2167,IMPROPER REGISTRATION,C,116
43,W,F,2021/01/04 00:00:00+00,1035,LN3700190,1,,S 9/ N-M,,,2167,IMPROPER REGISTRATION,C,117
43,W,F,2021/01/04 00:00:00+00,1035,LN3700190,2,,S 9/ N-M,,,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,118
48,W,M,2021/01/04 00:00:00+00,1102,LN3700191,1,,S 9/ N-B,,,2167,IMPROPER REGISTRATION,C,119
29,W,M,2021/01/04 00:00:00+00,1021,LP2100055,1,C1-000876,27TH ST AND OLD,CHENEY RD,,1333,FAIL TO YIELD TO VEHICLE,C,120
27,B,M,2021/01/03 00:00:00+00,105,LB671141,1,C1-000585,5210 S 40 #46,-,-,12287,"DOMESTIC ASSAULT, 3RD DEG - PRIOR",B,121
27,B,M,2021/01/03 00:00:00+00,105,LB671141,2,C1-000585,5210 S 40 #46,-,-,9462,CHILD ABUSE (M),B,122
27,B,M,2021/01/03 00:00:00+00,105,LB671142,1,C1-000594,S 48,BRIARPARK,-,10821,CARELESS DRIVING,C,123
27,B,M,2021/01/03 00:00:00+00,105,LB671142,2,C1-000594,S 48,BRIARPARK,-,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,124
36,B,M,2021/01/04 00:00:00+00,1050,LO4500051,1,C1-000909,"2504 O ST, BURGE",R KING,,2037,LOITER AND TRESPASS,C,125
51,W,M,2021/01/04 00:00:00+00,1031,LP6900193,1,,27TH VINE ST,,,2167,IMPROPER REGISTRATION,C,126
